id	T02	T04	T06	T08	T10	T12	T14	T01	T03	T05	T07	T09	T11	T13
Coq4	1052	981	911	841	701	848	890	946	1100	1027	1232	1335	1438	1541
Coq5	2844	2654	2465	2275	1896	1883	2087	1945	2070	1896	2275	2465	2654	2844
Coq6	1632	1523	1414	1306	1088	982	1102	1269	1150	1164	1397	1513	1630	1746
Coq7	1154	1077	1000	923	769	702	740	748	628	680	816	884	952	1020
Coq9	2457	2293	2129	1966	1638	1684	1862	1893	1856	1571	1885	2042	2199	2357
Corin	0	0	0	0	0	0	2	4	3	3	4	4	4	5
Coro1a	21	20	18	17	14	21	19	26	42	47	56	61	66	71
Coro1b	14291	13338	12385	11432	9527	11894	14154	7924	9023	7620	9144	9906	10668	11430
Coro1c	20862	19471	18080	16690	13908	11786	10708	16363	13627	16437	19724	21368	23012	24656
Coro2a	4986	4654	4321	3989	3324	3378	3216	2350	2578	2608	3130	3390	3651	3912
Coro2b	95	88	82	76	63	69	80	121	142	87	104	113	122	131
Coro6	690	644	598	552	460	917	1308	588	1217	628	754	816	879	942
Coro7	1436	1340	1244	1148	957	1003	1102	1033	1216	1045	1254	1359	1463	1568
Cort	128	119	111	102	85	100	116	127	142	148	178	192	207	222
Cotl1	1670	1558	1447	1336	1113	1296	1470	879	861	863	1036	1122	1208	1295
Cox10	2444	2281	2118	1955	1629	1358	1411	1169	1118	1160	1392	1508	1624	1740
Cox11	1245	1162	1079	996	830	817	736	821	674	658	790	855	921	987
Cox14	1196	1116	1036	956	797	960	1100	767	783	636	763	827	890	954
Cox15	4698	4385	4072	3758	3132	3322	3341	2622	2540	2704	3245	3515	3786	4056
Cox16	24	22	21	19	16	8	15	11	13	10	12	13	14	15
Cox17	1160	1082	1005	928	773	1155	1245	945	967	775	930	1008	1085	1163
Cox18	2376	2218	2059	1901	1584	1314	1545	1183	954	1025	1230	1333	1435	1538
Cox19	921	860	798	737	614	548	565	592	425	546	655	710	764	819
Cox20	1149	1072	996	919	766	977	1073	1114	1454	1147	1376	1491	1606	1721
Cox4i1	20006	18672	17338	16004	13337	14108	16651	13190	12727	11650	13980	15145	16310	17475
Cox4i2	3	3	3	2	2	2	6	0	9	6	7	8	8	9
Cox5a	7010	6542	6075	5608	4673	4755	5072	4396	3584	3849	4619	5004	5389	5774
Cox5b	4299	4012	3726	3439	2866	3613	4543	3248	3147	2522	3026	3279	3531	3783
Cox6a1	11709	10928	10148	9367	7806	8244	8612	9983	9249	8741	10489	11363	12237	13112
Cox6a2	0	0	0	0	0	15	29	3	8	0	0	0	0	0
Cox6b1	4767	4449	4131	3814	3178	3401	3960	4089	3847	3783	4540	4918	5296	5675
Cox6b2	0	0	0	0	0	0	1	0	0	5	6	7	7	8
Cox6c	8742	8159	7576	6994	5828	6752	9028	6287	6120	5460	6552	7098	7644	8190
Cox7a1	20	18	17	16	13	3	6	13	8	10	12	13	14	15
Cox7a2	3614	3373	3132	2891	2409	2332	3141	2716	2445	2275	2730	2958	3185	3413
Cox7a2l	6323	5901	5480	5058	4215	4976	6786	5373	6233	5146	6175	6690	7204	7719
Cox7b	4647	4337	4027	3718	3098	3572	3974	3229	2746	2925	3510	3803	4095	4388
Cox7b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox7c	4584	4278	3973	3667	3056	3163	3539	3408	2926	2899	3479	3769	4059	4349
Cox8a	16493	15393	14294	13194	10995	11137	14167	10893	10343	10300	12360	13390	14420	15450
Cox8b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox8c	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cp	10190	9510	8831	8152	6793	8889	14430	9344	19394	11817	14180	15362	16544	17726
Cpa1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa4	3	3	3	2	2	0	1	0	0	0	0	0	0	0
Cpa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpa6	2	1	1	1	1	0	0	0	0	0	0	0	0	0
Cpb1	8	7	7	6	5	3	2	9	12	13	16	17	18	20
Cpb2	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Cpd	15410	14382	13355	12328	10273	9554	8124	9928	11547	11600	13920	15080	16240	17400
Cpe	24083	22477	20872	19266	16055	16513	17648	16277	19416	15686	18823	20392	21960	23529
Cpeb1	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Cpeb2	1851	1728	1604	1481	1234	1145	855	164	169	176	211	229	246	264
Cpeb3	195	182	169	156	130	133	110	51	65	53	64	69	74	80
Cpeb4	1265	1180	1096	1012	843	1002	958	774	1036	998	1198	1297	1397	1497
Cped1	0	0	0	0	0	2	4	4	0	1	1	1	1	2
Cphx1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cphx2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cplx1	6	6	5	5	4	22	21	19	41	17	20	22	24	26
Cplx2	273	255	237	218	182	264	320	60	68	78	94	101	109	117
Cplx3	24	22	21	19	16	14	12	3	9	7	8	9	10	11
Cplx4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpm	0	0	0	0	0	0	1	8	0	1	1	1	1	2
Cpn1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpne1	8876	8284	7692	7100	5917	6211	5740	6910	6768	7026	8431	9134	9836	10539
Cpne2	2577	2405	2233	2062	1718	2088	2278	2670	2650	2561	3073	3329	3585	3842
Cpne3	7412	6917	6423	5929	4941	4812	4065	4567	5059	5057	6068	6574	7080	7586
Cpne4	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Cpne5	3	3	3	2	2	11	3	3	9	7	8	9	10	11
Cpne6	0	0	0	0	0	0	0	0	0	6	7	8	8	9
Cpne7	2	1	1	1	1	0	0	1	2	2	2	3	3	3
Cpne8	4862	4537	4213	3889	3241	2948	3567	2572	2648	2544	3053	3307	3562	3816
Cpne9	6	6	5	5	4	0	2	2	1	0	0	0	0	0
Cpox	3981	3716	3450	3185	2654	3549	4794	1527	1944	1615	1938	2100	2261	2423
Cpped1	1787	1667	1548	1429	1191	1099	1214	1332	1206	1321	1585	1717	1849	1982
Cpq	126	118	109	101	84	86	143	3	0	0	0	0	0	0
Cps1	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Cpsf1	10632	9923	9214	8506	7088	7560	6495	6334	6493	6162	7394	8011	8627	9243
Cpsf2	11366	10608	9850	9092	7577	5777	5641	6532	5558	6740	8088	8762	9436	10110
Cpsf3	6797	6343	5890	5437	4531	3946	3904	5002	4687	4864	5837	6323	6810	7296
Cpsf3l	5909	5515	5121	4727	3939	4235	4417	5530	5469	5123	6148	6660	7172	7685
Cpsf4	3807	3553	3299	3046	2538	2582	2638	2649	2342	2286	2743	2972	3200	3429
Cpsf4l	60	56	52	48	40	44	67	46	53	41	49	53	57	62
Cpsf6	10103	9429	8756	8082	6735	6483	6764	6858	7091	7479	8975	9723	10471	11219
Cpsf7	12012	11211	10410	9610	8008	7600	8553	6119	6647	6479	7775	8423	9071	9719
Cpt1a	2582	2409	2237	2065	1721	1661	1909	888	1010	975	1170	1268	1365	1463
Cpt1b	15	14	13	12	10	9	2	1	1	1	1	1	1	2
Cpt1c	141	132	122	113	94	103	100	3	0	1	1	1	1	2
Cpt2	1835	1712	1590	1468	1223	1535	1650	1271	1494	1325	1590	1723	1855	1988
Cptp	1473	1375	1277	1178	982	784	1200	1482	1307	1448	1738	1882	2027	2172
Cpvl	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpxcr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cpxm1	21	20	18	17	14	13	22	7	16	11	13	14	15	17
Cpxm2	3	3	3	2	2	0	0	0	0	0	0	0	0	0
Cpz	0	0	0	0	0	3	0	0	2	0	0	0	0	0
Cr1l	1484	1385	1286	1187	989	865	1070	1121	1153	1244	1493	1617	1742	1866
Cr2	2	1	1	1	1	0	2	1	3	2	2	3	3	3
Crabp1	2	1	1	1	1	0	0	0	0	0	0	0	0	0
Crabp2	27	25	23	22	18	49	74	5	4	5	6	7	7	8
Cracr2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cracr2b	326	304	282	260	217	347	342	515	662	447	536	581	626	671
Cradd	126	118	109	101	84	154	166	145	121	102	122	133	143	153
Cramp1l	3063	2859	2655	2450	2042	1901	2140	2222	2470	2597	3116	3376	3636	3896
Crat	2717	2535	2354	2173	1811	1697	1795	1968	1804	1969	2363	2560	2757	2954
Crb1	3	3	3	2	2	0	1	0	0	0	0	0	0	0
Crb2	3	3	3	2	2	1	4	5	0	1	1	1	1	2
Crb3	260	242	225	208	173	245	259	3	8	7	8	9	10	11
Crbn	1326	1238	1149	1061	884	897	1155	889	1167	1056	1267	1373	1478	1584
Crcp	2106	1966	1825	1685	1404	1265	1580	998	1008	935	1122	1216	1309	1403
Crct1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Creb1	5585	5212	4840	4468	3723	3944	3422	4023	3960	4556	5467	5923	6378	6834
Creb3	1050	980	910	840	700	754	1014	975	1045	983	1180	1278	1376	1475
Creb3l1	6	6	5	5	4	0	0	3	0	0	0	0	0	0
Creb3l2	465	434	403	372	310	372	447	421	578	608	730	790	851	912
Creb3l3	0	0	0	0	0	4	11	3	1	0	0	0	0	0
Creb3l4	63	59	55	50	42	38	54	31	28	13	16	17	18	20
Creb5	291	272	252	233	194	214	255	417	644	361	433	469	505	542
Crebbp	3122	2913	2705	2497	2081	2035	1999	1931	2718	2641	3169	3433	3697	3962
Crebl2	251	234	217	200	167	228	450	309	521	323	388	420	452	485
Crebrf	518	483	449	414	345	709	1132	1045	1804	968	1162	1258	1355	1452
Crebzf	3939	3676	3414	3151	2626	3362	3187	3958	4083	3819	4583	4965	5347	5729
Creg1	729	680	632	583	486	569	718	744	954	801	961	1041	1121	1202
Creg2	0	0	0	0	0	0	0	0	0	2	2	3	3	3
Creld1	104	97	90	83	69	88	92	77	176	101	121	131	141	152
Creld2	2621	2446	2271	2096	1747	1836	3758	1701	2595	1665	1998	2165	2331	2498
Crem	296	276	256	236	197	241	227	140	153	161	193	209	225	242
Crh	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crhbp	5	4	4	4	3	6	2	4	3	3	4	4	4	5
Crhr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crhr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crim1	8831	8242	7653	7064	5887	5631	3992	7995	8402	8679	10415	11283	12151	13019
Crip1	2873	2681	2490	2298	1915	2221	2503	2859	2510	2476	2971	3219	3466	3714
Crip2	234	218	203	187	156	190	139	218	173	130	156	169	182	195
Crip3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cript	2220	2072	1924	1776	1480	1421	1619	1172	1022	1134	1361	1474	1588	1701
Crisp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld2	192	179	166	154	128	199	278	60	74	41	49	53	57	62
Crk	16397	15303	14210	13117	10931	10378	11338	9666	10285	11332	13598	14732	15865	16998
Crkl	5135	4792	4450	4108	3423	3345	3754	3667	3720	4007	4808	5209	5610	6011
Crlf1	230	214	199	184	153	119	91	248	235	191	229	248	267	287
Crlf2	848	791	735	678	565	629	742	775	941	642	770	835	899	963
Crlf3	5067	4729	4391	4054	3378	3481	3430	2824	2666	3051	3661	3966	4271	4577
Crls1	3051	2848	2644	2441	2034	1895	2470	1789	1926	1793	2152	2331	2510	2690
Crmp1	0	0	0	0	0	0	0	0	0	3	4	4	4	5
Crnde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crnkl1	3669	3424	3180	2935	2446	2227	2171	2396	2380	2482	2978	3227	3475	3723
Crnn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crocc	1638	1529	1420	1310	1092	1638	1362	1690	1760	1406	1687	1828	1968	2109
Crot	1682	1569	1457	1345	1121	1050	1467	1635	1961	1769	2123	2300	2477	2654
Crp	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crtac1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crtam	29	27	25	23	19	4	0	0	0	0	0	0	0	0
Crtap	6803	6349	5896	5442	4535	4019	4299	5630	4791	5016	6019	6521	7022	7524
Crtc1	2655	2478	2301	2124	1770	1492	1460	1531	1781	1388	1666	1804	1943	2082
Crtc2	4802	4481	4161	3841	3201	3133	3674	3075	3271	3386	4063	4402	4740	5079
Crtc3	1917	1789	1661	1534	1278	1359	1337	1300	1538	1380	1656	1794	1932	2070
Crx	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crxos	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cry1	1227	1145	1063	982	818	928	980	603	937	608	730	790	851	912
Cry2	1064	993	922	851	709	785	606	968	1429	674	809	876	944	1011
Cryaa	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryab	335	312	290	268	223	221	210	97	109	92	110	120	129	138
Cryba1	2	1	1	1	1	2	2	0	0	0	0	0	0	0
Cryba2	0	0	0	0	0	0	0	0	0	2	2	3	3	3
Cryba4	77	71	66	61	51	59	34	6	4	4	5	5	6	6
Crybb1	11	10	9	8	7	7	6	2	0	0	0	0	0	0
Crybb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crybb3	12	11	10	10	8	9	14	12	18	9	11	12	13	14
Crybg3	1122	1047	972	898	748	871	837	621	739	699	839	909	979	1049
Cryga	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygd	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryge	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygf	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crygn	17	15	14	13	11	10	9	11	4	2	2	3	3	3
Crygs	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryl1	470	438	407	376	313	258	378	500	562	498	598	647	697	747
Crym	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryz	1539	1436	1334	1231	1026	1246	1399	1229	1391	1076	1291	1399	1506	1614
Cryzl1	1380	1288	1196	1104	920	1138	1937	1099	1498	1271	1525	1652	1779	1907
Cs	28368	26477	24586	22694	18912	16724	17015	13698	12060	13263	15916	17242	18568	19895
Csad	747	697	647	598	498	420	631	689	715	724	869	941	1014	1086
Csdc2	3	3	3	2	2	1	5	0	0	0	0	0	0	0
Csde1	27966	26102	24237	22373	18644	16971	19657	16011	17050	18188	21826	23644	25463	27282
Cse1l	23495	21928	20362	18796	15663	11962	11232	14849	12645	15224	18269	19791	21314	22836
Csf1	12552	11715	10878	10042	8368	8225	9263	6969	8389	7912	9494	10286	11077	11868
Csf1r	87	81	75	70	58	47	18	3	0	2	2	3	3	3
Csf2	12	11	10	10	8	24	26	8	0	2	2	3	3	3
Csf2ra	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csf2rb	5	4	4	4	3	3	15	3	6	4	5	5	6	6
Csf2rb2	0	0	0	0	0	8	1	4	3	2	2	3	3	3
Csf3	2648	2471	2295	2118	1765	2396	2434	960	1213	1436	1723	1867	2010	2154
Csf3r	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csgalnact1	326	304	282	260	217	196	275	2060	2182	1976	2371	2569	2766	2964
Csgalnact2	2114	1973	1832	1691	1409	1411	1830	1501	1790	1686	2023	2192	2360	2529
Csk	7491	6992	6492	5993	4994	5807	6038	5198	5182	4945	5934	6429	6923	7418
Csl	0	0	0	0	0	2	2	6	6	7	8	9	10	11
Csmd1	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Csmd2	0	0	0	0	0	0	0	0	5	4	5	5	6	6
Csmd2os	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csmd3	0	0	0	0	0	0	0	0	0	2	2	3	3	3
Csn1s1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csn3	2	1	1	1	1	1	16	36	93	111	133	144	155	167
Csnk1a1	17639	16463	15287	14111	11759	10947	12111	12182	11951	11567	13880	15037	16194	17351
Csnk1d	16644	15534	14425	13315	11096	11178	10708	10200	10068	9921	11905	12897	13889	14882
Csnk1e	6992	6525	6059	5593	4661	4965	4772	3366	3820	3639	4367	4731	5095	5459
Csnk1g1	2772	2587	2402	2218	1848	1603	1745	1422	1731	1707	2048	2219	2390	2561
Csnk1g2	10640	9930	9221	8512	7093	7594	7741	8573	7220	7454	8945	9690	10436	11181
Csnk1g3	3831	3576	3320	3065	2554	2422	2909	2298	2648	2475	2970	3218	3465	3713
Csnk2a1	12200	11386	10573	9760	8133	7939	7699	9136	9842	9961	11953	12949	13945	14942
Csnk2a2	8126	7584	7042	6500	5417	4998	5169	2908	3235	2733	3280	3553	3826	4100
Csnk2b	7985	7452	6920	6388	5323	4358	5207	4001	4002	4272	5126	5554	5981	6408
Csnka2ip	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cspg4	24	22	21	19	16	27	38	4	1	4	5	5	6	6
Cspg5	75	70	65	60	50	30	48	31	23	23	28	30	32	35
Cspp1	2156	2012	1868	1724	1437	1516	1370	1143	1126	1213	1456	1577	1698	1820
Csprs	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Csrnp1	1296	1210	1123	1037	864	915	620	802	758	740	888	962	1036	1110
Csrnp2	930	868	806	744	620	532	549	564	454	600	720	780	840	900
Csrnp3	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Csrp1	4857	4533	4209	3886	3238	3314	4249	3731	4221	3936	4723	5117	5510	5904
Csrp2	939	876	814	751	626	697	706	416	378	385	462	501	539	578
Csrp2bp	4071	3800	3528	3257	2714	2631	2755	3501	3543	3466	4159	4506	4852	5199
Csrp3	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Cst10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cst11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cst12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cst13	0	0	0	0	0	3	2	2	0	1	1	1	1	2
Cst3	6353	5929	5506	5082	4235	4710	5684	8337	8880	7474	8969	9716	10464	11211
Cst6	294	274	255	235	196	222	239	230	291	285	342	371	399	428
Cst7	0	0	0	0	0	1	0	2	3	3	4	4	4	5
Cst8	2	1	1	1	1	0	0	1	1	0	0	0	0	0
Cst9	0	0	0	0	0	0	4	0	0	0	0	0	0	0
Csta1	2	1	1	1	1	2	2	0	0	0	0	0	0	0
Cstad	0	0	0	0	0	4	5	2	4	4	5	5	6	6
Cstb	3933	3671	3409	3146	2622	3306	5288	2928	3243	2933	3520	3813	4106	4400
Cstf1	4440	4144	3848	3552	2960	2477	2475	3137	2691	3066	3679	3986	4292	4599
Cstf2	11648	10871	10095	9318	7765	6646	6253	5180	4430	5168	6202	6718	7235	7752
Cstf2t	2174	2029	1884	1739	1449	1540	1748	1647	2039	1836	2203	2387	2570	2754
Cstf3	3431	3202	2973	2744	2287	2365	2543	2466	2872	2522	3026	3279	3531	3783
Cstl1	12	11	10	10	8	1	0	2	0	1	1	1	1	2
Ctag2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctage5	6026	5624	5222	4820	4017	3834	4797	4507	5239	5220	6264	6786	7308	7830
Ctbp1	20967	19569	18171	16774	13978	13836	13181	15930	14399	14390	17268	18707	20146	21585
Ctbp2	5297	4943	4590	4237	3531	3409	3709	4023	4082	4203	5044	5464	5884	6305
Ctbs	402	375	348	322	268	337	449	226	305	244	293	317	342	366
Ctc1	7112	6637	6163	5689	4741	5207	5540	5489	5757	5500	6600	7150	7700	8250
Ctcf	12005	11204	10404	9604	8003	7523	7823	7096	7448	7444	8933	9677	10422	11166
Ctcfl	2	1	1	1	1	0	0	0	0	0	0	0	0	0
Ctcflos	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctdnep1	9146	8536	7926	7316	6097	6373	7608	5151	5424	5125	6150	6663	7175	7688
Ctdp1	4631	4322	4013	3704	3087	2473	2248	1974	1755	1894	2273	2462	2652	2841
Ctdsp1	8091	7552	7012	6473	5394	5736	6720	6099	6223	5463	6556	7102	7648	8195
Ctdsp2	8127	7585	7043	6502	5418	6407	7002	11721	12501	11356	13627	14763	15898	17034
Ctdspl	2856	2666	2475	2285	1904	1724	1715	2808	2815	3064	3677	3983	4290	4596
Ctdspl2	4781	4462	4143	3824	3187	2934	3546	4380	4691	5196	6235	6755	7274	7794
Ctf1	483	451	419	386	322	426	441	456	480	404	485	525	566	606
Ctf2	17	15	14	13	11	17	19	18	16	10	12	13	14	15
Ctgf	9260	8642	8025	7408	6173	5523	3658	936	964	1231	1477	1600	1723	1847
Cth	1064	993	922	851	709	1126	1952	1500	1828	1462	1754	1901	2047	2193
Cthrc1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctif	1704	1590	1477	1363	1136	1306	1026	716	1027	672	806	874	941	1008
Ctla2a	62	57	53	49	41	27	31	23	51	26	31	34	36	39
Ctla2b	138	129	120	110	92	142	128	30	53	28	34	36	39	42
Ctla4	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ctnna1	34881	32556	30230	27905	23254	22643	22772	19363	19463	21014	25217	27318	29420	31521
Ctnna2	0	0	0	0	0	0	0	0	0	1	1	1	1	2
Ctnna3	2	1	1	1	1	0	1	0	7	0	0	0	0	0
Ctnnal1	10139	9463	8787	8111	6759	5867	5978	17810	17010	18789	22547	24426	26305	28184
Ctnnb1	67662	63151	58640	54130	45108	46906	50780	39521	38194	38929	46715	50608	54501	58394
Ctnnbip1	3156	2946	2735	2525	2104	1846	1748	3692	3616	3278	3934	4261	4589	4917
Ctnnbl1	3164	2953	2742	2531	2109	2011	2032	2298	2225	2217	2660	2882	3104	3326
Ctnnd1	23664	22086	20509	18931	15776	14001	13927	20101	20029	22106	26527	28738	30948	33159
Ctnnd2	0	0	0	0	0	0	0	2	0	6	7	8	8	9
Ctns	740	690	641	592	493	860	1489	583	1050	673	808	875	942	1010
Ctps	15479	14447	13415	12383	10319	8951	7713	7321	6910	7629	9155	9918	10681	11444
Ctps2	3069	2864	2660	2455	2046	2204	2804	1615	1875	1767	2120	2297	2474	2651
Ctr9	6159	5748	5338	4927	4106	3516	3105	3659	3571	3544	4253	4607	4962	5316
Ctrb1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Ctrc	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctrcos	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctrl	30	28	26	24	20	21	22	10	17	10	12	13	14	15
Cts3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cts8-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsa	4416	4122	3827	3533	2944	3494	4421	6119	7178	6177	7412	8030	8648	9266
Ctsb	18795	17542	16289	15036	12530	13886	18355	16145	17704	16953	20344	22039	23734	25430
Ctsc	1808	1687	1567	1446	1205	1230	1681	112	104	85	102	111	119	128
Ctsd	14948	13951	12955	11958	9965	11977	15098	11562	12799	11930	14316	15509	16702	17895
Ctse	2	1	1	1	1	3	0	1	0	0	0	0	0	0
Ctsf	0	0	0	0	0	2	0	0	0	5	6	7	7	8
Ctsg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsh	8375	7816	7258	6700	5583	5061	6439	4569	4647	5092	6110	6620	7129	7638
Ctsj	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsk	6	6	5	5	4	8	7	5	5	6	7	8	8	9
Ctsl	75887	70827	65768	60709	50591	51014	63622	70428	68450	64576	77491	83949	90406	96864
Ctsll3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsm	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctso	96	90	83	77	64	130	239	354	548	337	404	438	472	506
Ctsq	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctsr	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctss	2	1	1	1	1	0	0	0	0	2	2	3	3	3
Ctsw	1035	966	897	828	690	817	533	12	24	14	17	18	20	21
Ctsz	11208	10461	9714	8966	7472	7376	7821	10155	10040	9886	11863	12852	13840	14829
Cttn	19667	18355	17044	15733	13111	13121	14736	10891	10662	10600	12720	13780	14840	15900
Cttnbp2	0	0	0	0	0	0	1	0	0	5	6	7	7	8
Cttnbp2nl	4830	4508	4186	3864	3220	3497	4376	3124	3990	3461	4153	4499	4845	5192
Ctu1	692	645	599	553	461	468	688	450	509	437	524	568	612	656
Ctu2	3506	3272	3038	2804	2337	2188	2316	1543	1277	1394	1673	1812	1952	2091
Ctxn1	2246	2096	1946	1796	1497	1754	1966	912	995	831	997	1080	1163	1247
Ctxn2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctxn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cubn	507	473	439	406	338	224	195	128	160	165	198	215	231	248
Cuedc1	1500	1400	1300	1200	1000	1452	1568	1050	1385	1021	1225	1327	1429	1532
Cuedc2	4742	4425	4109	3793	3161	3645	4705	2596	3053	2519	3023	3275	3527	3779
Cul1	8924	8329	7734	7139	5949	4995	5353	5806	6048	6262	7514	8141	8767	9393
Cul2	5871	5480	5088	4697	3914	3252	3222	2893	2605	2930	3516	3809	4102	4395
Cul3	13104	12230	11357	10483	8736	7372	8428	6008	6229	6619	7943	8605	9267	9929
Cul4a	14045	13108	12172	11236	9363	9746	9072	7587	8080	8010	9612	10413	11214	12015
Cul4b	12662	11817	10973	10129	8441	7655	7147	5735	5767	6659	7991	8657	9323	9989
Cul5	5669	5291	4913	4535	3779	3546	3200	3228	3329	3617	4340	4702	5064	5426
Cul7	2097	1957	1817	1678	1398	1533	1475	3092	3611	2992	3590	3890	4189	4488
Cul9	11	10	9	8	7	1	7	9	4	8	10	10	11	12
Cuta	2307	2153	1999	1846	1538	1799	2201	1903	2047	1688	2026	2194	2363	2532
Cutal	6	6	5	5	4	8	8	6	4	1	1	1	1	2
Cutc	285	266	247	228	190	200	242	85	120	92	110	120	129	138
Cux1	6521	6086	5651	5216	4347	4303	4513	4152	5030	4425	5310	5753	6195	6638
Cux2	5	4	4	4	3	1	0	0	5	3	4	4	4	5
Cuzd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cwc15	6522	6087	5652	5218	4348	4047	5197	3826	3711	3950	4740	5135	5530	5925
Cwc22	4637	4327	4018	3709	3091	2688	2824	2828	2940	2778	3334	3611	3889	4167
Cwc25	2255	2104	1954	1804	1503	1529	1944	1656	1815	1619	1943	2105	2267	2429
Cwc27	1299	1212	1126	1039	866	834	890	725	691	761	913	989	1065	1142
Cwf19l1	2409	2248	2088	1927	1606	1354	1458	983	979	995	1194	1294	1393	1493
Cwf19l2	1526	1424	1322	1220	1017	1143	1242	1209	1585	1304	1565	1695	1826	1956
Cwh43	2	1	1	1	1	8	4	0	0	0	0	0	0	0
Cx3cl1	5403	5043	4683	4322	3602	4052	4124	4152	4975	4626	5551	6014	6476	6939
